692,Cox10
694,Ndufb11
696,Pdha2
698,Ssbp1
700,Mrpl27
702,Hscb
704,Hint2
706,Etfb
708,Slc25a15
710,Oxnad1
712,Cycs
714,Cyct
716,Mrpl23
718,Mrpl9
720,Chchd1
722,Atad3a
724,Mut
726,Cisd1
728,Dars2
730,Aldh18a1
732,Mrpl50
734,Cox8a
736,Mrps6
738,Hspe1
740,Pcx
742,Ppa2
744,Gldc
746,Tamm41
748,Atp5g3
750,Mrpl38
752,Ndufa12
754,Pdf
756,Acad10
758,Ptges2
760,Slc25a31
762,Atp5f1
764,Ccdc58
766,Atp5h
768,Mrpl41
770,Txnrd2
772,Mcee
774,Mccc2
776,Ptcd2
778,Ak4
780,Slc25a25
782,Tomm40
784,Clybl
786,Mterfd3
788,Dnajc11
790,Decr1
792,Ndufaf6
794,Rmnd1
796,Ptrh1
798,Gcat
800,Pyurf
802,Acsm1
804,Atad1
806,Tmem14c
808,C030006K11Rik
810,Nit2
812,Timm21
814,Slc25a26
816,Ndufa4
818,Rexo2
820,Me2
822,Sars2
824,Dnlz
826,Ckmt2
828,Spryd4
830,Bphl
832,Chchd4
834,Mrpl37
836,Slc25a51
838,Marc2
840,Immp1l
842,Mrps24
844,Fam210a
846,Timm17b
848,Hars2
850,Cox16
852,Pdss2
854,Eci1
856,Ndufs3
858,Hmgcs2
860,L2hgdh
862,Zadh2
864,Aurkaip1
866,Coa5
868,H2-Ke6
870,2410015M20Rik
872,Ndufb7
874,Gbas
876,Mrpl47
878,1700021F05Rik
880,Ndufaf7
882,Acad9
884,Nags
886,Ldhd
888,Sardh
890,Spr
892,Apoa1bp
894,Timm23
896,Mpv17
898,Mtg1
900,Ide
902,Trnt1
904,Mrps25
906,Mrpl14
908,Mrps30
910,Mrps16
912,Prelid2
914,Shmt2
916,Suox
918,Ccdc90b
920,Rmdn1
922,Acsm5
924,Mrpl36
926,Gstk1
928,1110001J03Rik
930,Ict1
932,Gyk
934,Cpt1a
936,Ak2
938,2810006K23Rik
940,Gls
942,Them4
944,Mtg2
946,Pdss1
948,Mrps11
950,Mlycd
952,Ndufc1
954,Tcaim
956,Gsr
958,Rars2
960,Slc25a18
962,Slc25a22
964,Vdac3
966,Mpc1
968,Slc25a24
970,Timm8a1
972,Akap1
974,Eci2
976,Ftsj2
978,Lipt2
980,Nubpl
982,Sfxn1
984,Slc30a9
986,Gatm
988,Bcat1
990,Triap1
992,Cpox
994,Xpnpep3
996,Pnpla8
998,Gadd45gip1
1000,Gfer
1002,Ngrn
1004,Mrp63
1006,Ndufa3
1008,Ptcd3
1010,Mrpl45
1012,Slc25a16
1014,Ucp1
1016,Tars2
1018,Trit1
1020,Ndufab1
1022,Csl
1024,Slc25a39
1026,Slmo2
1028,Mtch1
1030,0610009O20Rik
1032,Acaa1a
1034,Acot13
1036,Ndufa13
1038,Agxt2
1040,Selo
1042,Oxld1
1044,Mfn2
1046,Msra
1048,Chdh
1050,Nit1
1052,Cox4i2
1054,Tst
1056,Lactb
1058,Apopt1
1060,Prodh2
1062,Cox7b
1064,Glrx2
1066,Aldh1b1
1068,Ndufb3
1070,Ehhadh
1072,Echdc1
1074,Trmu
1076,Vars2
1078,Mettl17
1080,Aass
1082,Aadat
1084,Ndufa11
1086,Gm4984
1088,Slc25a21
1090,Slc25a29
1092,Mthfd2
1094,Mmab
1096,Hsd17b4
1098,Nnt
1100,Tmem11
1102,Rnmtl1
1104,Hrsp12
1106,Cox6a2
1108,Sco2
1110,Cox18
1112,Gcsh
1114,Dmgdh
1116,Rdh13
1118,Lyrm2
1120,Prdx5
1122,9430016H08Rik
1124,Gstz1
1126,Peo1
1128,Tefm
1130,Coa3
1132,Mcur1
1134,Pck2
1136,Hmgcl
1138,Abhd10
1140,BC003965
1142,Acot2
1144,Alas2
1146,Acsm3
1148,Romo1
1150,Mrpl39
1152,Rhot2
1154,Higd1a
1156,Tbrg4
1158,Apoo
1160,Pdp1
1162,Dnajc15
1164,Bcat2
1166,Abcd3
1168,Cps1
1170,2010107E04Rik
1172,Oat
1174,Hao2
1176,Tha1
1178,Hadhb
1180,Rdh14
1182,Fastkd1
1184,Car5b
1186,Grpel2
1188,Mrps17
1190,Lipt1
1192,Slc25a44
1194,Dut
1196,Immp2l
1198,Cox19
1200,Aldh1l2
1202,Chchd2
1204,Pisd
1206,Crot
1208,Noa1
1210,1810043H04Rik
1212,Acaa1b
1214,Mtrf1l
1216,Xrcc6bp1
1218,Yme1l1
1220,Aldh7a1
1222,Cecr5
1224,Chchd7
1226,Nln
1228,Pdpr
1230,Ndufaf2
1232,Fastkd2
1234,Dcakd
1236,Sdr39u1
1238,Gars
1240,Uqcr11
1242,Ears2
